OTU	Test-Statistic	P	FDR_P	Bonferroni_P	bushes_mean	none_mean	mycelium_mean	tree_mean	shrubs_mean	grass_mean
k__Bacteria;p__Gemmatimonadetes	28.2177220427	3.29996669339e-05	0.0018479813483	0.0018479813483	0.0162255014767	0.0371408615105	0.0198347107438	0.0341736833008	0.0296070138999	0.0108600421342
k__Archaea;p__Crenarchaeota	17.9338001943	0.00303052586541	0.0848547242316	0.169709448463	0.0256873195879	0.0294358010434	0.0198347107438	0.0315378157485	0.0277150763698	0.00848317634445
k__Bacteria;p__TM6	15.583427964	0.00813973606913	0.151941739957	0.455825219871	0.000439223643618	0.000664155706124	0.0	0.000759278006864	0.000801521991956	0.000419474152794
k__Bacteria;p__OP3	12.8071827914	0.0252542559089	0.353559582724	1.0	0.000124638557303	0.000216039957307	0.0	0.000166670781995	0.000107216357739	9.40242484533e-05
k__Bacteria;p__Tenericutes	12.0240399012	0.0344598589784	0.385950420558	1.0	0.00125688670466	0.000123857474218	0.0	5.55569273315e-05	4.54813971348e-05	0.000784780129171
k__Bacteria;p__FBP	11.5254518107	0.0419016941527	0.391082478758	1.0	4.08585748529e-05	9.89944680263e-05	0.0	4.32109434801e-05	7.85554339021e-05	2.83508852433e-05
k__Bacteria;p__NKB19	11.0489471352	0.0504180964526	0.403344771621	1.0	2.9301882646e-05	6.68970511012e-05	0.0	1.23459838515e-05	8.72621366096e-06	1.53902256537e-05
k__Bacteria;p__Fusobacteria	9.8880505839	0.0784701436489	0.549291005543	1.0	0.0	4.30630283914e-06	0.0	4.32109434801e-05	0.0	0.000111747946803
k__Bacteria;p__Cyanobacteria	9.06901725819	0.10634275578	0.611599415312	1.0	0.0029452041625	0.00192789796387	0.00165289256198	0.00370379515544	0.00190075059816	0.00346109209397
k__Bacteria;p__WS4	8.89171044314	0.113462204924	0.611599415312	1.0	0.0	7.35086120356e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Fibrobacteres	8.5821471222	0.126937221965	0.611599415312	1.0	0.000159203077866	8.37749792491e-05	0.0	0.000302476604361	0.000115377147968	0.000519587016747
k__Bacteria;p__OD1	8.48801735051	0.131312154682	0.611599415312	1.0	0.0	6.63380222973e-05	0.0	2.46919677029e-05	7.68686897467e-05	0.000812556302097
