OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Gordon_SQ_mean	Grassfeed_mean
k__Archaea;p__Crenarchaeota	31.1918735892	2.33742523449e-08	7.35589227997e-07	1.30895813131e-06	0.0268633350998	0.00278084228655
k__Bacteria;p__Gemmatimonadetes	30.9650980392	2.6271043857e-08	7.35589227997e-07	1.47117845599e-06	0.0289869075639	0.00758998094869
k__Bacteria;p__GN02	10.0560430794	0.00151849017858	0.0208467141675	0.0850354500007	7.68883507208e-06	6.30999172437e-05
k__Bacteria;p__OP3	9.81934421535	0.00172685903491	0.0208467141675	0.0967041059548	0.000155862663765	8.58674087013e-05
k__Bacteria;p__OD1	9.68151218135	0.00186131376496	0.0208467141675	0.104233570838	5.13917457887e-05	0.00112406268957
k__Bacteria;p__AD3	9.12112750964	0.0025267418126	0.0235829235843	0.141497541506	3.14170857195e-05	0.0017478689245
k__Bacteria;p__FBP	8.23504440304	0.00410891671712	0.032871333737	0.230099336159	6.83715672477e-05	2.73655558209e-05
k__Bacteria;p__NKB19	7.68988568816	0.00555311447074	0.0351593578831	0.310974410361	3.74096671229e-05	1.4643939319e-05
k__Bacteria;p__TM6	7.48837209302	0.00620986694756	0.0351593578831	0.347752549063	0.000603260958253	0.000396340348206
k__Bacteria;p__Cyanobacteria	7.46859393008	0.00627845676484	0.0351593578831	0.351593578831	0.00215187514702	0.00390839233919
k__Bacteria;p__Tenericutes	6.87254286404	0.00875300174095	0.0445607361357	0.490168097493	0.000245308690706	0.000951073369139
k__Bacteria;p__Deferribacteres	6.37744034707	0.011558000394	0.0537762583692	0.647248022063	0.0	0.000155823871134
k__Bacteria;p__GAL15	6.24083304809	0.0124837742643	0.0537762583692	0.6990913588	1.0984275514e-05	1.07411385607e-06
k__Bacteria;p__BHI80-139	5.94070019386	0.0147951398481	0.0591805593925	0.828527831495	5.05485209193e-05	3.53393085272e-05
k__Bacteria;p__Armatimonadetes	5.70380190797	0.0169282058713	0.0631986352529	0.947979528794	0.000816274962854	0.00211128708145
k__Bacteria;p__Firmicutes	5.2768627451	0.0216106534198	0.0756372869694	1.0	0.0114507673098	0.126299376895
k__Bacteria;p__FCPU426	4.9511354358	0.0260735390462	0.0858893050935	1.0	6.51311820461e-05	0.000607599945784
k__Bacteria;p__Verrucomicrobia	4.74509803922	0.0293818793701	0.0914102913736	1.0	0.122640409991	0.0913136644052
k__Bacteria;p__	4.25937849944	0.0390341999375	0.115048168237	1.0	0.000209899480062	0.000170743174896
k__Bacteria;p__MVP-21	4.1606741573	0.0413729337158	0.115844214404	1.0	1.22658698662e-06	4.53231906731e-05
k__Bacteria;p__Nitrospirae	3.84426780654	0.0499163116426	0.129904145839	1.0	0.0175020715328	0.0119525418722
k__Archaea;p__[Parvarchaeota]	3.80716461813	0.0510337715794	0.129904145839	1.0	1.74887305296e-05	9.72285561555e-06
k__Bacteria;p__BRC1	3.21038582868	0.0731722268188	0.178158465298	1.0	0.000249674675835	0.000154498528031
k__Bacteria;p__SBR1093	2.60039078099	0.106837368959	0.230707555584	1.0	1.72012764145e-05	0.000160284016873
k__Bacteria;p__Actinobacteria	2.57294117647	0.108705451984	0.230707555584	1.0	0.141285269205	0.117108001293
k__Bacteria;p__Fusobacteria	2.55304592959	0.110081845661	0.230707555584	1.0	4.72385459276e-06	0.000154320987654
k__Bacteria;p__WPS-2	2.53660114859	0.111234000014	0.230707555584	1.0	0.000122072464977	0.00242201804005
k__Bacteria;p__Fibrobacteres	2.24444538193	0.134094979947	0.268189959895	1.0	0.000158766228717	0.000603614641878
k__Bacteria;p__NC10	2.08274298668	0.148972262581	0.278081556818	1.0	3.41128461458e-06	0.0
k__Bacteria;p__WS4	2.08274298668	0.148972262581	0.278081556818	1.0	3.18537318821e-06	0.0
k__Archaea;p__Euryarchaeota	2.00852598787	0.156417228252	0.282560154261	1.0	1.8289360758e-05	3.41724125983e-06
k__Bacteria;p__GN04	1.90027700831	0.168047316272	0.294082803476	1.0	5.61856589038e-06	9.65250965251e-05
k__Bacteria;p__Synergistetes	1.5	0.22067136192	0.36345871375	1.0	0.0	1.77053824363e-05
k__Bacteria;p__WS5	1.5	0.22067136192	0.36345871375	1.0	0.0	1.75685172171e-06
k__Bacteria;p__WS1	1.36054421769	0.243443186193	0.389509097909	1.0	5.2849458502e-07	0.0
k__Bacteria;p__TM7	1.02591161555	0.311120849699	0.472806472148	1.0	0.000106335623023	0.000267358420606
k__Bacteria;p__Kazan-3B-28	1.02054406347	0.312389990526	0.472806472148	1.0	3.05860906694e-07	6.18193547289e-06
k__Bacteria;p__Proteobacteria	0.691764705882	0.405564786689	0.552288237657	1.0	0.294160985572	0.287883387447
k__Bacteria;p__AC1	0.666666666667	0.414216178243	0.552288237657	1.0	2.52213806688e-07	0.0
k__Bacteria;p__GOUTA4	0.666666666667	0.414216178243	0.552288237657	1.0	4.2876347137e-06	0.0
