OTU	Test-Statistic	P	FDR_P	Bonferroni_P	6.63_mean	3.57_mean	6.5_mean	5.3_mean	8.5_mean	5.5_mean	5.6_mean	6.94_mean	4.9_mean	4.89_mean	5_mean	6_mean	9_mean	8_mean	6.56_mean	5.93_mean	6.76_mean	7.08_mean	4.67_mean	5.74_mean	5.7_mean	6.25_mean	5.82_mean	4.94_mean
k__Bacteria;p__Synergistetes	49.0	0.00124388621442	0.0696576280073	0.0696576280073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000354107648725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	38.2364052288	0.0240231810311	0.432102562102	1.0	0.0115359828142	0.000198465202435	0.0261158306831	0.00945378151261	0.0380445196182	0.0190064931156	0.0313485353928	0.0133346802707	0.00308641975309	0.0077684915872	0.0253544141501	0.00106232294618	0.0361649470003	0.0256429749238	0.00391686650679	0.00917871818133	0.0096778278211	0.00942158616577	0.00657894736842	0.00671407090808	0.0162617127915	0.0112314016094	0.00992005919862	0.00620401960003
k__Bacteria;p__Deferribacteres	36.2185466377	0.0391823468575	0.432102562102	1.0	0.0	0.0	0.0	0.000105042016807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028328611898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.20046082949e-05	1.72824997408e-05
k__Archaea;p__Crenarchaeota	35.6434475876	0.0448407236615	0.432102562102	1.0	0.0147153598281	0.00112463614713	0.0240215435938	0.00115546218487	0.034711576669	0.0205814739591	0.0490182637969	0.00525305586423	0.00617283950617	7.36349913479e-05	0.0225953007673	0.000354107648725	0.0267015809194	0.0345524423852	0.00447641886491	0.00250813810769	0.00231452204487	0.000477042337507	0.0	0.0019305019305	0.0321965569841	0.00115787645458	0.00225428566571	0.00257482725677
k__Bacteria;p__WS2	34.1956912029	0.06238104343	0.432102562102	1.0	0.000107411385607	0.0	8.26218471764e-06	0.0	0.0	1.25283302396e-05	9.13951469177e-05	5.05101525407e-05	0.0	3.68174956739e-05	2.07712122513e-05	0.0	1.54576352571e-05	5.49175133944e-05	0.000159872102318	0.000106729281178	9.48574608555e-05	0.0	0.0	0.0	1.3619524951e-05	0.000289469113646	4.63703605351e-05	0.0
k__Bacteria;p__MVP-21	33.7772575947	0.0684482334856	0.432102562102	1.0	3.22234156821e-05	0.0	3.08649596286e-06	0.0	0.0	0.0	0.0	0.000202040610163	0.0	0.0	2.59640449905e-06	0.0	1.09482018673e-06	0.0	0.000159872102318	5.33646405891e-05	5.05906457896e-05	0.000357781753131	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fibrobacteres	33.3313903889	0.0754637121847	0.432102562102	1.0	0.000891514500537	0.0	0.000454016094335	0.00136554621849	8.88265557328e-05	0.00016318959292	3.04650489726e-05	0.00075765228811	0.0	0.000846802400501	0.000171926823491	0.0	0.000129909025934	5.77521572781e-05	0.000319744204636	0.00138748065532	0.000271924721119	0.000834824090638	0.0	0.000356633380884	0.000245151449117	0.0017947085046	0.00125660438614	5.18474992223e-05
k__Bacteria;p__Tenericutes	33.1054696933	0.0792463761309	0.432102562102	1.0	0.00112781954887	0.000551292228985	0.000108001639365	0.00220588235294	5.04427613376e-06	0.000385018292996	0.000426510685616	0.00156581472876	0.0	0.00121497735724	0.000153923846115	0.0	0.000393186184764	0.000154878587473	0.000639488409273	0.000907198890015	0.000436344319935	0.000357781753131	0.0	0.00264376869227	8.17171497058e-05	0.00162102703642	0.000972047031811	0.000362932494556
k__Bacteria;p__OP3	32.7992530546	0.0846289705762	0.432102562102	1.0	0.000214822771214	0.0	0.0001402679673	0.0	0.000221467606932	6.91372156573e-05	0.000182790293835	0.000101020305081	0.0	0.000220904974044	0.000148332851988	0.0	0.000202548027474	3.56667943017e-05	0.000159872102318	0.0	3.79429843422e-05	0.0	0.0	0.000356633380884	0.000190673349314	0.000231575290916	0.0	0.0
k__Bacteria;p__Chlamydiae	32.6963956787	0.0865047635808	0.432102562102	1.0	0.000128893662728	0.0	5.62447518171e-05	0.000105042016807	1.23251946599e-05	5.74063811605e-05	6.09300979451e-05	5.05101525407e-05	0.0	7.36349913479e-05	3.62191305892e-05	0.0	6.57107062882e-05	9.61914471725e-05	0.0	5.33646405891e-05	3.79429843422e-05	0.000119260584377	0.0	0.0	4.08585748529e-05	0.000115787645458	4.63703605351e-05	0.001313337378
