Taxa	Test-Statistic	P	FDR_P	Bonferroni_P	Gordon	Park Grass
Crenarchaeota;c__Thaumarchaeota	31.21586157	2.31E-08	2.12E-06	4.25E-06	0.026854905	0.002653996
Gemmatimonadetes;c__Gemm-1	30.10425975	4.09E-08	2.51E-06	7.53E-06	0.017307717	0.002762886
Firmicutes;c__Clostridia	25.90156863	3.59E-07	1.10E-05	6.61E-05	0.001365517	0.106136008
Gemmatimonadetes;c__Gemmatimonadetes	15.21921569	9.57E-05	0.000978516	0.017613293	0.009286445	0.004358138
Acidobacteria;c__Acidobacteriia	14.30627451	0.000155346	0.001322722	0.028583703	0.007552937	0.043384868
Actinobacteria;c__MB-A2-108	14.03181818	0.000179743	0.001437946	0.033072763	0.009953996	0.002635136
Acidobacteria;c__DA052	13.06190173	0.000301363	0.002310452	0.055450846	0.001978895	0.009807884
Bacteroidetes;c__Cytophagia	12.85362319	0.000336826	0.002479043	0.061976065	0.022184712	0.009964306
Planctomycetes;c__Phycisphaerae	11.46705882	0.000708407	0.005013342	0.1303469	0.006716585	0.012305241
Bacteroidetes;c__[Saprospirae]	10.41921569	0.001247108	0.007402192	0.229467957	0.045550373	0.029335245
Acidobacteria;c__Acidobacteria-6	8.70627451	0.003171166	0.015355121	0.583494586	0.108661115	0.071453056
Actinobacteria;c__Thermoleophilia	8.019215686	0.004628361	0.018513444	0.851618422	0.068814417	0.045896433
k__Bacteria;p__AD3;c__ABS-6	7.856854558	0.005062839	0.019407551	0.931562442	1.55E-05	0.000429951
k__Bacteria;p__NKB19;c__TSBW08	7.277418413	0.006982682	0.026043184	1	2.87E-05	5.26E-06
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	7.253333333	0.007076952	0.026043184	1	0.037345169	0.022982774
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	7.122946901	0.007610351	0.027356836	1	0.002562533	0.0013512
k__Bacteria;p__Chloroflexi;c__SAR202	7.078651685	0.007800768	0.027356836	1	9.14E-06	0
k__Bacteria;p__TM6;c__SJA-4	7.060554994	0.007879958	0.027356836	1	0.000587851	0.00038536
k__Bacteria;p__Tenericutes;c__Mollicutes	6.872542864	0.008753002	0.029825043	1	0.000243664	0.000951073
k__Bacteria;p__TM6;c__SBRH58	6.787510206	0.009179785	0.030710554	1	1.51E-05	1.10E-05
k__Bacteria;p__Bacteroidetes;c__BME43	6.591869131	0.010244556	0.033660683	1	1.02E-05	2.15E-06
k__Bacteria;p__Deferribacteres;c__Deferribacteres	6.377440347	0.011558	0.03666676	1	0	0.000155824
k__Bacteria;p__WS2;c__Kazan-3B-09	6.377440347	0.011558	0.03666676	1	0	1.07E-05
k__Bacteria;p__GAL15;c__	6.240833048	0.012483774	0.038932449	1	1.10E-05	1.07E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	6.12745098	0.013309863	0.040816914	1	0.042075992	0.053182547
k__Bacteria;p__Planctomycetes;c__OM190	5.942929293	0.01477644	0.043908157	1	0.00376295	0.002063355
k__Bacteria;p__BHI80-139;c__	5.940700194	0.01479514	0.043908157	1	5.05E-05	3.53E-05
k__Bacteria;p__Chloroflexi;c__C0119	5.420532674	0.019901287	0.057410825	1	1.44E-05	8.54E-05
k__Bacteria;p__OD1;c__Mb-NB09	5.41460396	0.019968983	0.057410825	1	1.08E-06	1.53E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia	5.18627451	0.022765969	0.064445204	1	0.032040312	0.026071149
k__Bacteria;p__FCPU426;c__	4.951135436	0.026073539	0.072689866	1	6.51E-05	0.0006076
k__Bacteria;p__Fibrobacteres;c__TG3	4.775392112	0.028869271	0.079282775	1	6.62E-06	5.96E-06
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	4.745098039	0.029381879	0.079503909	1	0.032088573	0.025175875
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	4.68617172	0.03040632	0.081083519	1	0	1.64E-05
k__Bacteria;p__Acidobacteria;c__EC1113	4.635265497	0.031321298	0.082330269	1	0.00059869	0.000319325
k__Archaea;p__Euryarchaeota;c__Methanobacteria	4.431047476	0.035290843	0.090187711	1	3.95E-06	0
k__Bacteria;p__SBR1093;c__	4.431047476	0.035290843	0.090187711	1	1.50E-05	0
k__Bacteria;p__;c__	4.259378499	0.0390342	0.098387572	1	0.000209899	0.000170743
k__Bacteria;p__MVP-21;c__	4.160674157	0.041372934	0.102873241	1	1.23E-06	4.53E-05
k__Bacteria;p__Nitrospirae;c__Nitrospira	3.844267807	0.049916312	0.122461351	1	0.017502072	0.011952542
k__Bacteria;p__AD3;c__JG37-AG-4	3.806741573	0.051046664	0.123586661	1	1.59E-05	0.001312355
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	3.689803922	0.054746052	0.130821734	1	0.079270428	0.057694275
k__Bacteria;p__Chlorobi;c__OPB56	3.637017847	0.056508066	0.131559596	1	9.76E-05	7.98E-05
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	3.616770003	0.057199825	0.131559596	1	2.51E-06	0
k__Bacteria;p__Tenericutes;c__RF3	3.616770003	0.057199825	0.131559596	1	1.64E-06	0
k__Bacteria;p__Chlorobi;c__SJA-28	3.559727924	0.059197441	0.134473199	1	0.00054242	0.000426696
k__Bacteria;p__Verrucomicrobia;c__Opitutae	3.465264438	0.062670486	0.138946141	1	0.006377741	0.004491416
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	3.465098039	0.062676792	0.138946141	1	0.065458087	0.051890048
k__Bacteria;p__TM7;c__MJK10	3.327186377	0.068143354	0.149266395	1	1.21E-05	3.21E-06
k__Bacteria;p__BRC1;c__PRR-11	3.210385829	0.073172227	0.15839635	1	0.000249055	0.000154499
k__Bacteria;p__Chloroflexi;c__S085	3.106423678	0.077984022	0.166849535	1	0.003229616	0.002454084
k__Bacteria;p__AD3;c__	3.06122449	0.080181225	0.169578682	1	0	5.56E-06
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	2.773703577	0.095824216	0.195491439	1	6.23E-06	6.13E-06
k__Bacteria;p__Chloroflexi;c__TK10	2.769718818	0.096063035	0.195491439	1	0.003153547	0.002452652
k__Bacteria;p__Cyanobacteria;c__4C0d-2	2.769718818	0.096063035	0.195491439	1	0.000573842	0.001943865
k__Bacteria;p__Armatimonadetes;c__SJA-176	2.75942029	0.096683266	0.195491439	1	1.94E-05	6.25E-05
k__Bacteria;p__Armatimonadetes;c__OPB50	2.653155941	0.103344542	0.20446662	1	1.64E-06	2.44E-05
k__Bacteria;p__OP11;c__OP11-3	2.653155941	0.103344542	0.20446662	1	6.88E-07	1.79E-05
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	2.55304593	0.110081846	0.215442695	1	4.72E-06	0.000154321
k__Bacteria;p__WPS-2;c__	2.536601149	0.111234	0.215442695	1	0.000122072	0.002422018
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	2.47019518	0.116023516	0.222378406	1	1.51E-05	9.72E-06
k__Bacteria;p__NKB19;c__	2.444330776	0.11795018	0.223740547	1	8.70E-06	9.38E-06
k__Bacteria;p__GN02;c__BD1-5	2.382918865	0.122668157	0.228466053	1	4.22E-07	8.06E-06
k__Bacteria;p__Elusimicrobia;c__Endomicrobia	2.379655279	0.12292467	0.228466053	1	3.48E-06	5.37E-07
k__Bacteria;p__Chloroflexi;c__Anaerolineae	2.327333173	0.127119492	0.233899865	1	0.00326341	0.002263631
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	2.244445382	0.13409498	0.244291845	1	0.00015215	0.000597115
k__Bacteria;p__Planctomycetes;c__	2.218666989	0.136350742	0.245966044	1	0.000565089	0.000418385
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	2.082742987	0.148972263	0.258593361	1	1.76E-06	0
k__Bacteria;p__GN02;c__GN07	2.082742987	0.148972263	0.258593361	1	2.49E-06	0
k__Bacteria;p__NC10;c__12-24	2.082742987	0.148972263	0.258593361	1	3.41E-06	0
k__Bacteria;p__WS4;c__	2.082742987	0.148972263	0.258593361	1	3.19E-06	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	1.85350348	0.173376468	0.298142712	1	4.48E-05	5.50E-06
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	1.615583997	0.203708637	0.34705916	1	0.000148755	0.000775848
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	1.50745098	0.219528457	0.356171321	1	0.068327154	0.074971213
k__Bacteria;p__Elusimicrobia;c__	1.5	0.220671362	0.356171321	1	0	1.76E-06
k__Bacteria;p__Fibrobacteres;c__SBZC_2415	1.5	0.220671362	0.356171321	1	0	5.37E-07
k__Bacteria;p__GN02;c__BB34	1.5	0.220671362	0.356171321	1	0	5.37E-07
k__Bacteria;p__Synergistetes;c__Synergistia	1.5	0.220671362	0.356171321	1	0	1.77E-05
k__Bacteria;p__WS5;c__	1.5	0.220671362	0.356171321	1	0	1.76E-06
k__Bacteria;p__Chloroflexi;c__	1.436831718	0.230652726	0.369044362	1	9.85E-06	1.97E-05
k__Bacteria;p__Proteobacteria;c__TA18	1.379673218	0.240156818	0.370194597	1	7.21E-05	7.05E-05
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	1.360544218	0.243443186	0.370194597	1	2.43E-06	0
k__Bacteria;p__Armatimonadetes;c__SHA-37	1.360544218	0.243443186	0.370194597	1	1.20E-06	0
k__Bacteria;p__Cyanobacteria;c__	1.360544218	0.243443186	0.370194597	1	1.78E-06	0
k__Bacteria;p__GN04;c__GN15	1.360544218	0.243443186	0.370194597	1	7.68E-07	0
k__Bacteria;p__WS1;c__	1.360544218	0.243443186	0.370194597	1	5.28E-07	0
k__Bacteria;p__GN04;c__	1.300081638	0.254198312	0.383381061	1	4.85E-06	9.65E-05
k__Bacteria;p__Cyanobacteria;c__ML635J-21	1.236931498	0.26606325	0.398013316	1	0.000196312	0.000164543
k__Bacteria;p__Chloroflexi;c__TK17	1.189473093	0.275435865	0.408711284	1	0.000535753	0.000392089
k__Bacteria;p__GN02;c__GKS2-174	1.108093201	0.29249682	0.429219595	1	4.78E-06	3.18E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.101568627	0.293922114	0.429219595	1	0.054518349	0.051986097
k__Bacteria;p__OP11;c__	1.054699061	0.304427328	0.441060065	1	5.85E-06	1.94E-05
k__Bacteria;p__Kazan-3B-28;c__	1.020544063	0.312389991	0.442151987	1	3.06E-07	6.18E-06
k__Bacteria;p__OP11;c__WCHB1-64	1.020544063	0.312389991	0.442151987	1	7.22E-08	3.30E-06
k__Bacteria;p__TM7;c__TM7-3	1.020544063	0.312389991	0.442151987	1	5.05E-07	4.95E-06
k__Bacteria;p__Planctomycetes;c__Pla3	0.967587795	0.325282514	0.456885362	1	0.000308856	0.000296569
k__Bacteria;p__Actinobacteria;c__OPB41	0.807503969	0.368859234	0.514167417	1	9.88E-06	3.00E-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.794155782	0.372846459	0.515817658	1	0.012129354	0.008199248
k__Bacteria;p__Chloroflexi;c__Ellin6529	0.759215686	0.383574083	0.526698741	1	0.012833303	0.015248811
k__Bacteria;p__OD1;c__ZB2	0.723145666	0.395114008	0.529135024	1	2.68E-06	2.20E-05
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.720731209	0.395904164	0.529135024	1	8.79E-06	2.81E-05
k__Bacteria;p__Planctomycetes;c__Pla4	0.697289448	0.403695981	0.529135024	1	0.000165378	0.000533416
k__Bacteria;p__AC1;c__	0.666666667	0.414216178	0.529135024	1	2.52E-07	0
k__Bacteria;p__BRC1;c__NPL-UPA2	0.666666667	0.414216178	0.529135024	1	6.20E-07	0
k__Bacteria;p__GOUTA4;c__	0.666666667	0.414216178	0.529135024	1	4.29E-06	0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.666666667	0.414216178	0.529135024	1	3.10E-07	0
k__Bacteria;p__OP11;c__OP11-4	0.666666667	0.414216178	0.529135024	1	2.41E-08	0
k__Bacteria;p__OP8;c__OP8_1	0.666666667	0.414216178	0.529135024	1	3.77E-07	0
k__Bacteria;p__TM6;c__	0.666666667	0.414216178	0.529135024	1	3.16E-07	0
k__Bacteria;p__Chloroflexi;c__SHA-26	0.650715072	0.419857139	0.529135024	1	1.38E-06	1.06E-05
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	0.650715072	0.419857139	0.529135024	1	4.31E-06	5.09E-05
k__Bacteria;p__Chlorobi;c__	0.553704016	0.456808172	0.5717871	1	0.000207443	0.000239574
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.494684316	0.481845146	0.599050723	1	1.06E-05	0.000127155
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	0.48054726	0.488174535	0.60043518	1	2.10E-05	9.16E-06
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0.467860188	0.493973233	0.60043518	1	7.83E-06	6.07E-05
k__Bacteria;p__SR1;c__	0.46589659	0.494881011	0.60043518	1	3.23E-06	1.17E-05
k__Bacteria;p__Acidobacteria;c__TM1	0.463459336	0.49601167	0.60043518	1	0.000274812	0.000153025
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.453355103	0.500745961	0.602204293	1	0.018376668	0.015180695
k__Bacteria;p__Chloroflexi;c__Chloroflexi	0.415893239	0.518993384	0.620095991	1	0.000511268	0.001114331
k__Bacteria;p__TM7;c__SC3	0.392225315	0.531131995	0.62741059	1	8.92E-05	0.000185858
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.390693554	0.531935066	0.62741059	1	0.000364418	0.000592558
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.377043799	0.539189607	0.631916482	1	0.001309858	0.001734434
k__Archaea;p__Crenarchaeota;c__MCG	0.322857918	0.569895182	0.663675402	1	6.22E-07	9.65E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.30745098	0.579248594	0.670325417	1	0.105594644	0.108614498
k__Bacteria;p__Proteobacteria;c__	0.287539242	0.591801774	0.679568051	1	0.000180141	0.000223863
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	0.283183722	0.594622045	0.679568051	1	2.75E-05	6.14E-05
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0.258106996	0.611423667	0.69445651	1	2.56E-05	5.71E-05
k__Bacteria;p__SBR1093;c__VHS-B5-50	0.242382271	0.622490783	0.698404293	1	2.16E-06	0.000160284
k__Bacteria;p__[Thermi];c__Deinococci	0.242382271	0.622490783	0.698404293	1	1.40E-06	0.00033005
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.216933221	0.641386651	0.715243296	1	0.001819097	0.001999949
k__Archaea;p__Crenarchaeota;c__MBGA	0.171285893	0.678971514	0.752594931	1	7.81E-06	3.03E-05
k__Bacteria;p__OD1;c__ABY1	0.148317055	0.700148856	0.769453745	1	3.37E-06	1.75E-05
k__Bacteria;p__WS3;c__PRR-12	0.14163664	0.706659361	0.769453745	1	0.005719188	0.005468225
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.141568627	0.706726538	0.769453745	1	0.007119629	0.006044466
k__Bacteria;p__OD1;c__	0.1342711	0.71404408	0.77284771	1	1.15E-05	1.19E-05
k__Bacteria;p__Armatimonadetes;c__0319-6E2	0.11399018	0.735646315	0.791572643	1	0.000196273	0.000300586
k__Bacteria;p__TM7;c__	0.102891156	0.748387338	0.800600408	1	1.20E-07	1.76E-06
k__Bacteria;p__PAUC34f;c__	0.083309719	0.772861297	0.822002767	1	1.99E-06	5.37E-07
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.078774177	0.778965532	0.823733666	1	1.26E-05	3.42E-06
k__Bacteria;p__Planctomycetes;c__vadinHA49	0.07176004	0.788791192	0.829022589	1	0.000233679	0.000277789
k__Bacteria;p__Acidobacteria;c__GAL08	0.068877551	0.792978129	0.829022589	1	8.91E-07	5.37E-07
k__Bacteria;p__Armatimonadetes;c__	0.058376768	0.809080166	0.834094996	1	5.26E-05	6.44E-05
k__Bacteria;p__Chlorobi;c__Ignavibacteria	0.057853972	0.809920552	0.834094996	1	1.98E-06	1.07E-06
k__Bacteria;p__Chlamydiae;c__Chlamydiia	0.056921588	0.811429372	0.834094996	1	5.18E-05	0.00017209
k__Bacteria;p__Firmicutes;c__Bacilli	0.019215686	0.88974992	0.90952214	1	0.010081242	0.017545872
k__Bacteria;p__Planctomycetes;c__BD7-11	0.006324621	0.936613071	0.948484222	1	0.000112713	0.000551644
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.006016227	0.938174611	0.948484222	1	1.52E-06	7.96E-06
k__Bacteria;p__Planctomycetes;c__C6	0.000423472	0.983581934	0.988956698	1	4.70E-05	6.61E-05
k__Bacteria;p__WS2;c__SHA-109	0.000104728	0.991834867	0.991834867	1	1.96E-05	4.09E-05
