OTU	Test-Statistic	P	FDR_P	Bonferroni_P	6.63_mean	3.57_mean	6.5_mean	5.3_mean	8.5_mean	5.5_mean	5.6_mean	6.94_mean	4.9_mean	4.89_mean	5_mean	6_mean	9_mean	8_mean	6.56_mean	5.93_mean	6.76_mean	7.08_mean	4.67_mean	5.74_mean	5.7_mean	6.25_mean	5.82_mean	4.94_mean
k__Bacteria;p__Synergistetes	49	0.001243886	0.069657628	0.069657628	0	0	0	0	0	0	0	0	0	0	0	0.000354108	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	38.23640523	0.024023181	0.432102562	1	0.011535983	0.000198465	0.026115831	0.009453782	0.03804452	0.019006493	0.031348535	0.01333468	0.00308642	0.007768492	0.025354414	0.001062323	0.036164947	0.025642975	0.003916867	0.009178718	0.009677828	0.009421586	0.006578947	0.006714071	0.016261713	0.011231402	0.009920059	0.00620402
k__Bacteria;p__Deferribacteres	36.21854664	0.039182347	0.432102562	1	0	0	0	0.000105042	0	0	0	0	0	0	0	0.002832861	0	0	0	0	0	0	0	0	0	0	7.20E-05	1.73E-05
k__Archaea;p__Crenarchaeota	35.64344759	0.044840724	0.432102562	1	0.01471536	0.001124636	0.024021544	0.001155462	0.034711577	0.020581474	0.049018264	0.005253056	0.00617284	7.36E-05	0.022595301	0.000354108	0.026701581	0.034552442	0.004476419	0.002508138	0.002314522	0.000477042	0	0.001930502	0.032196557	0.001157876	0.002254286	0.002574827
k__Bacteria;p__WS2	34.1956912	0.062381043	0.432102562	1	0.000107411	0	8.26E-06	0	0	1.25E-05	9.14E-05	5.05E-05	0	3.68E-05	2.08E-05	0	1.55E-05	5.49E-05	0.000159872	0.000106729	9.49E-05	0	0	0	1.36E-05	0.000289469	4.64E-05	0
k__Bacteria;p__MVP-21	33.77725759	0.068448233	0.432102562	1	3.22E-05	0	3.09E-06	0	0	0	0	0.000202041	0	0	2.60E-06	0	1.09E-06	0	0.000159872	5.34E-05	5.06E-05	0.000357782	0	0	0	0	0	0
k__Bacteria;p__Fibrobacteres	33.33139039	0.075463712	0.432102562	1	0.000891515	0	0.000454016	0.001365546	8.88E-05	0.00016319	3.05E-05	0.000757652	0	0.000846802	0.000171927	0	0.000129909	5.78E-05	0.000319744	0.001387481	0.000271925	0.000834824	0	0.000356633	0.000245151	0.001794709	0.001256604	5.18E-05
k__Bacteria;p__Tenericutes	33.10546969	0.079246376	0.432102562	1	0.00112782	0.000551292	0.000108002	0.002205882	5.04E-06	0.000385018	0.000426511	0.001565815	0	0.001214977	0.000153924	0	0.000393186	0.000154879	0.000639488	0.000907199	0.000436344	0.000357782	0	0.002643769	8.17E-05	0.001621027	0.000972047	0.000362932
k__Bacteria;p__OP3	32.79925305	0.084628971	0.432102562	1	0.000214823	0	0.000140268	0	0.000221468	6.91E-05	0.00018279	0.00010102	0	0.000220905	0.000148333	0	0.000202548	3.57E-05	0.000159872	0	3.79E-05	0	0	0.000356633	0.000190673	0.000231575	0	0
k__Bacteria;p__Chlamydiae	32.69639568	0.086504764	0.432102562	1	0.000128894	0	5.62E-05	0.000105042	1.23E-05	5.74E-05	6.09E-05	5.05E-05	0	7.36E-05	3.62E-05	0	6.57E-05	9.62E-05	0	5.34E-05	3.79E-05	0.000119261	0	0	4.09E-05	0.000115788	4.64E-05	0.001313337
k__Bacteria;p__	32.44912017	0.091157648	0.432102562	1	0.000300752	0	0.000296441	0	0.000126702	0.000443046	0.000228488	0.000909183	0	0	0.000181837	0	0.00017488	0.000120114	0.000159872	0.000373552	0.000120153	0.000119261	0	0	5.45E-05	0.00075262	0.000279659	0
k__Bacteria;p__GN02	32.07534459	0.098586611	0.432102562	1	0.000139635	2.21E-05	0	0.000105042	1.87E-05	7.14E-06	0	0.00015153	0	0.00014727	1.19E-06	0	1.18E-05	8.50E-06	7.99E-05	5.34E-05	5.69E-05	0.000119261	0	0	1.36E-05	0.000231575	3.20E-05	1.73E-05
k__Bacteria;p__Spirochaetes	31.74829603	0.105492281	0.432102562	1	0.000118153	0	9.86E-05	0.000105042	9.80E-06	4.95E-05	0	0.00015153	0	0.000220905	1.26E-05	0	4.40E-05	5.50E-05	0.000159872	0.000106729	2.53E-05	0	0	0	0	0.000231575	0.000279659	0
k__Bacteria;p__Nitrospirae	30.868805	0.1260505	0.432102562	1	0.022835661	4.41E-05	0.021523555	0.003256303	0.014352302	0.01425916	0.013496017	0.011364784	0	0.007437134	0.01362939	0.002124646	0.024503725	0.014777342	0.028856914	0.020331928	0.00546379	0.018962433	0	0.01227287	0.009302136	0.006368321	0.027621919	0.013375727
k__Bacteria;p__AD3	30.73067633	0.129554656	0.432102562	1	1.07E-05	0.023396842	0	0.002415966	2.52E-05	9.43E-06	0	0.00015153	0	0.000331357	8.42E-05	0.000708215	1.72E-05	0	0	0.000373552	0.0029303	0	0	0	0	0.000578938	0.000322862	0.000241955
k__Bacteria;p__BRC1	30.68309741	0.130779566	0.432102562	1	0.000204082	0	0.000164246	0	0.00043423	0.000232546	0.000517906	0.000202041	0	0.000257722	0.00021334	0	0.000162094	0.000173256	0.000639488	0.000373552	0.0001328	0	0	0	0.000898889	0.000231575	0.000319694	0.00013826
k__Bacteria;p__WPS-2	30.2485063	0.142399975	0.432102562	1	3.22E-05	0.040508953	4.23E-05	0.002310924	2.52E-05	0.000100789	0	0.00010102	0	0.000625897	0.000342751	0	2.20E-05	5.20E-05	0.000239808	0.000320188	1.26E-05	0	0	0.000356633	5.45E-05	0.000115788	9.91E-05	0.001624422
k__Bacteria;p__BHI80-139	29.97644163	0.150079129	0.432102562	1	2.15E-05	0	5.73E-05	0.000105042	4.89E-05	3.97E-05	3.05E-05	0	0	7.36E-05	6.44E-05	0	5.43E-05	2.43E-05	0.000159872	0	1.26E-05	0.000119261	0	0	1.36E-05	0	3.20E-05	6.91E-05
