	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
515rcbc12	7614	2722	3211	2477	3065	3196	312	2913	2795	3303	2808	3438	3051	2644	3040	2782	2449	2956	2634	3333	3541	2742	3066	3194	3595	3034	3273	2275	2436	1946
515rcbc21	2722	3049	2273	2020	2167	2084	290	2256	2147	2379	1988	2451	2312	1902	1944	2058	1999	2004	1789	2079	2282	1923	2076	2226	2402	2229	2236	1539	1652	1352
515rcbc17	3211	2273	3643	2211	2465	2460	298	2459	2380	2629	2402	2762	2630	2268	2332	2362	2175	2394	2097	2521	2687	2348	2563	2602	2848	2518	2653	1841	1858	1514
515rcbc34	2477	2020	2211	2844	2079	2003	283	2123	2175	2242	1977	2390	2313	1937	1910	2013	1911	1961	1764	2042	2219	1926	2131	2183	2381	2141	2187	1557	1578	1264
515rcbc33	3065	2167	2465	2079	3485	2434	295	2360	2168	2628	2292	2602	2427	2030	2416	2253	2059	2346	2233	2525	2711	2221	2311	2567	2799	2538	2560	1917	2013	1562
515rcbc31	3196	2084	2460	2003	2434	3877	298	2235	2097	2525	2345	2560	2363	2121	2596	2296	1999	2416	2385	2943	2860	2294	2337	2462	2773	2375	2729	2106	2142	1725
515rcbc20	312	290	298	283	295	298	316	294	286	297	288	299	294	277	283	291	284	290	279	293	296	283	291	294	300	290	297	260	251	257
515rcbc15	2913	2256	2459	2123	2360	2235	294	3258	2292	2584	2154	2619	2463	2011	2125	2194	2075	2162	1937	2266	2445	2080	2246	2392	2566	2414	2363	1681	1741	1440
515rcbc26	2795	2147	2380	2175	2168	2097	286	2292	3449	2354	2047	2572	2483	2135	1976	2095	1999	2044	1824	2134	2316	2006	2342	2298	2538	2248	2361	1560	1633	1289
515rcbc22	3303	2379	2629	2242	2628	2525	297	2584	2354	3774	2340	2835	2604	2128	2418	2353	2216	2369	2235	2575	2771	2247	2402	2637	2863	2685	2624	1876	2064	1575
515rcbc37	2808	1988	2402	1977	2292	2345	288	2154	2047	2340	3198	2485	2372	2114	2374	2218	1983	2346	2062	2442	2571	2267	2375	2407	2624	2292	2434	1893	1759	1527
515rcbc24	3438	2451	2762	2390	2602	2560	299	2619	2572	2835	2485	4075	2874	2338	2487	2462	2298	2520	2212	2627	2817	2377	2654	2719	2976	2659	2726	1952	1973	1581
515rcbc18	3051	2312	2630	2313	2427	2363	294	2463	2483	2604	2372	2874	3584	2265	2285	2339	2170	2384	2057	2429	2639	2308	2546	2572	2809	2475	2601	1825	1809	1470
515rcbc35	2644	1902	2268	1937	2030	2121	277	2011	2135	2128	2114	2338	2265	3226	2047	2049	1829	2101	1844	2201	2341	2082	2322	2229	2441	2056	2317	1645	1560	1383
515rcbc11	3040	1944	2332	1910	2416	2596	283	2125	1976	2418	2374	2487	2285	2047	3559	2167	1912	2429	2369	2770	2748	2290	2337	2435	2709	2312	2554	2135	2045	1643
515rcbc27	2782	2058	2362	2013	2253	2296	291	2194	2095	2353	2218	2462	2339	2049	2167	3002	2009	2240	1926	2294	2464	2132	2223	2365	2496	2299	2390	1731	1663	1443
515rcbc13	2449	1999	2175	1911	2059	1999	284	2075	1999	2216	1983	2298	2170	1829	1912	2009	2618	1961	1770	2013	2201	1921	1985	2157	2263	2162	2135	1558	1550	1316
515rcbc23	2956	2004	2394	1961	2346	2416	290	2162	2044	2369	2346	2520	2384	2101	2429	2240	1961	3283	2134	2536	2647	2323	2358	2501	2667	2316	2517	1947	1827	1572
515rcbc32	2634	1789	2097	1764	2233	2385	279	1937	1824	2235	2062	2212	2057	1844	2369	1926	1770	2134	3207	2534	2520	2026	2084	2191	2461	2105	2362	2022	2144	1531
515rcbc16	3333	2079	2521	2042	2525	2943	293	2266	2134	2575	2442	2627	2429	2201	2770	2294	2013	2536	2534	4190	3047	2415	2467	2572	2925	2454	2832	2232	2317	1760
515rcbc19	3541	2282	2687	2219	2711	2860	296	2445	2316	2771	2571	2817	2639	2341	2748	2464	2201	2647	2520	3047	4283	2501	2637	2780	3114	2639	2935	2166	2244	1860
515rcbc9	2742	1923	2348	1926	2221	2294	283	2080	2006	2247	2267	2377	2308	2082	2290	2132	1921	2323	2026	2415	2501	3094	2365	2343	2550	2200	2412	1878	1726	1467
515rcbc30	3066	2076	2563	2131	2311	2337	291	2246	2342	2402	2375	2654	2546	2322	2337	2223	1985	2358	2084	2467	2637	2365	3878	2491	2780	2333	2573	1877	1781	1489
